ID VALOR DATA
A25 5,33 01/01/2023
B12 31,92 08/04/2023
C44 93,25 09/04/2023
B12 7,68 10/04/2023
A25 92,63 11/04/2023
B12 75,03 12/04/2023
C44 32,15 13/04/2023
E88 38,86 14/04/2023
B12 22,79 15/04/2023
C44 63,36 16/04/2023
E88 58,3 17/04/2023
C44 67 18/04/2023
A25 90,83 19/04/2023
B12 83,89 20/04/2023
E88 75,88 21/04/2023
C44 84,1 22/04/2023
A25 75,57 23/04/2023
B12 54,42 24/04/2023
E88 0,37 25/04/2023
B12 21,15 26/04/2023
A25 70,86 27/04/2023
E88 57,18 28/04/2023
C44 25,42 29/04/2023
A25 29,64 30/04/2023
B12 76,14 01/05/2023
E88 4,29 02/05/2023
E88 3,42 03/05/2023
B12 1,16 04/05/2023
C44 12,19 05/05/2023
A25 89,42 06/05/2023
B12 43,3 07/05/2023
C44 36,44 08/05/2023
E88 78,38 09/05/2023
A25 32,44 10/05/2023
A25 26,56 11/05/2023
E88 46,99 12/05/2023
B12 73,74 13/05/2023
C44 53,53 14/05/2023
E88 29,41 15/05/2023
A25 32,64 16/05/2023
C44 70,47 17/05/2023
E88 82,88 18/05/2023
A25 55,45 19/05/2023
B12 27,75 20/05/2023
E88 71,02 21/05/2023
B12 54,16 22/05/2023
C44 92,95 23/05/2023
B12 28,72 24/05/2023
A25 90,85 25/05/2023
B12 31,39 26/05/2023
C44 94,8 27/05/2023
E88 84,16 28/05/2023
B12 77,94 29/05/2023
C44 31,97 30/05/2023
E88 70,01 31/05/2023
C44 40,43 01/06/2023
A25 18,55 02/06/2023
B12 83,08 03/06/2023
E88 71,28 04/06/2023
C44 12,99 05/06/2023
A25 13,03 06/06/2023
B12 73,71 07/06/2023
E88 85,17 08/06/2023
B12 22,11 09/06/2023
A25 87,24 10/06/2023
E88 62,45 11/06/2023
C44 45,14 12/06/2023
A25 79,43 13/06/2023
B12 37,8 14/06/2023
E88 2,59 15/06/2023
E88 73,14 16/06/2023
B12 40,03 17/06/2023
C44 85,51 18/06/2023
A25 65,77 19/06/2023
B12 60,2 20/06/2023
C44 36,11 21/06/2023
E88 94,26 22/06/2023
A25 36,09 23/06/2023
A25 17,76 24/06/2023
E88 98,38 25/06/2023
B12 43,88 26/06/2023
C44 93,25 27/06/2023
E88 4,27 28/06/2023
A25 41,28 29/06/2023
C44 69,65 30/06/2023
E88 62,66 01/07/2023
B12 45,28 02/07/2023
C44 58,53 03/07/2023
E88 53,25 04/07/2023
C44 31,64 05/07/2023
A25 81,04 06/07/2023
B12 34,47 07/07/2023
E88 0,4 08/07/2023
C44 93,34 09/07/2023
A25 72,88 10/07/2023
B12 41,33 11/07/2023
E88 41,39 12/07/2023
B12 60,44 13/07/2023
A25 23,91 14/07/2023
E88 64,93 15/07/2023
C44 90,35 16/07/2023
A25 30,71 17/07/2023
B12 88,17 18/07/2023
E88 83,25 19/07/2023
E88 47,1 20/07/2023
B12 14,45 21/07/2023
C44 96,96 22/07/2023
A25 75,66 23/07/2023
B12 2,33 24/07/2023
C44 22,45 25/07/2023
E88 78,64 26/07/2023
A25 77,05 27/07/2023
A25 19,85 28/07/2023
E88 43,7 29/07/2023
B12 41,37 30/07/2023
C44 63,8 31/07/2023
E88 72,6 01/08/2023
A25 74,46 02/08/2023
A25 57,7 03/08/2023
B12 68,7 04/08/2023
C44 70,01 05/08/2023
E88 20,15 06/08/2023
A25 43,67 07/08/2023
B12 27,23 08/08/2023
E88 24,27 09/08/2023
B12 76 10/08/2023
C44 57,04 11/08/2023
B12 13,7 12/08/2023
A25 31,68 13/08/2023
B12 80,8 14/08/2023
C44 60,43 15/08/2023
E88 56,99 16/08/2023
B12 75,22 17/08/2023
C44 69,81 18/08/2023
E88 97,1 19/08/2023
C44 45,83 20/08/2023
A25 42,24 21/08/2023
B12 46,51 22/08/2023
E88 94,98 23/08/2023
C44 80,18 24/08/2023
A25 38,97 25/08/2023
B12 64,21 26/08/2023
E88 88,92 27/08/2023
B12 3,41 28/08/2023
A25 43,17 29/08/2023
E88 62,95 30/08/2023
C44 43,27 31/08/2023
A25 22 01/09/2023
B12 85,94 02/09/2023
E88 22,58 03/09/2023
E88 60,72 04/09/2023
B12 51,35 05/09/2023
C44 7,31 06/09/2023
A25 67,23 07/09/2023
B12 6,89 08/09/2023
C44 30,41 09/09/2023
E88 48,9 10/09/2023
A25 42,84 11/09/2023
A25 40,37 12/09/2023
E88 67,68 13/09/2023
B12 67,06 14/09/2023
C44 19,8 15/09/2023
A25 62,57 16/09/2023
B12 35,97 17/09/2023
C44 5,68 18/09/2023
E88 36,87 19/09/2023
A25 74,19 20/09/2023
B12 33,94 21/09/2023
E88 96,98 22/09/2023
B12 76,41 23/09/2023
C44 70,85 24/09/2023
B12 21,94 25/09/2023
A25 48,71 26/09/2023
B12 98,71 27/09/2023
